Testator: Shelfmark (PGPID),M/F,Type,Scribe,Century,Date,Location,Sons,Sons’ sons,Son’s daughters,Daughters,Daughter’s sons,Daughter’s daughters,Father,Mother,Brothers,Brothers’ sons,Brothers’ daughters,Sisters,Sisters’ sons,Sisters’ daughters,Sister’s daughter’s children,6. The Father’s Father (N/A),The father’s brothers and their descendants,The father’s sisters and their descendants,Spouse,Maternal Relative/Descendent,Other Men,Other Women,Enslaved beneficiary,Debts/shared holdings,Burial Expenses,The Poor,Synagogues/Heqdesh
Abū al-Ḥasan al-Sukkarī b. Ḥasan: T-S 13J3.2 (PGPID 1104),M,Will: Deathbed,,12th c (1142),1142,Fustat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 male cousin,0,1,1 maternal aunt,3,0,0,Yes,Yes,No,No
Abu al-Husayn Moshe b. Shelomo al-ʿAttār (n’e): T-S 8J34.10 + ENA 1822a.17 (PGPID 3797),M,Will: Deathbed,,12th c,,Unknown,0,0,0,0,0,0,N/a,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,No,No,No,No
Abū al-Munajja Shelomo b. Saʿadya (n’e): T-S 8.104 (PGPID 3651),M,Will or Gift [0 formula],Mevorkah b. Natan?,12th c (1150-81),,Probably Fustat,2,“Children”,“Children”,3,0,0,N/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No
"Abū al-Surūr, Perahya haZaken b. ʿAdiya (n’e): Moss. VII,108 (PGPID 2731)",M,Will: Deathbed [probably? Formula missing],,Unknown,,Unknown,0,0,0,1,1,0,N/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No (but fragmentary),No,No,No
Abū al-Surūr: T-S NS J347 (PGPID 4321),M,Will: Deathbed,Shelomo b. Eliyyahu?,13th c (1219/20),1219,Fustat,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1 male cousin,0,1,0,1,1,0,Yes,No,No,No
Abu al-Ṭahir Mevorakh b. Shela  (n’e) al-murid (government supplier): ENA NS 18.25 (PGPID 2436),M,Will: Deathbed,Ḥalfon b. Menashshe,12th c,,Fustat,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Yes,No,No,No
Abū l-Faraj b. Moshe known as Ibn al-Kallām: Bodl. MS heb. f 56/45 (PGPID 2502),M,Will: Deathbed,,12th c. (1182),1182,Fustat,0,0,0,0,0,0,N/a,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,Yes,No,No,No
Abū l-Ḥasan Yehoshuaʿ b. Abū l-Riḍā Shemuel ha-Meshorer (s’t): PER H 22 (PGPID 906),M,Will: Deathbed,Ḥalfon b. Menashshe,12th c (1137),1137,Fustat,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,Yes,No,No,No
Abū l-Ḥasan: T-S Misc.24.137.4 (PGPID 4212),M,Will: Deathbed,,12th c (ca. 1160),1160,Fustat,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,1,2,Yes,No,No,No
"Abū l-Muhāsan al-Ṭabīb, Ibn al-Kāmakī b. Abū al-Faḍaʾil (n’e): T-S 13J3.17 (PGPID 1102)",M,Will: Deathbed,,13th c (1241),1241,Fustat,3,0,0,0,0,0,N/a,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,No (but fragmentary),No,No,No
Ibn al-Ṣabagh’s widow: ENA NS 16.11 (PGPID 2419) and T-S 16.44 + T-S 12.613 (PGPID 3188),F,Will: Deathbed,Ḥalfon b. Menashshe,12th c (second doc 1126),,Fustat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,N/a,0,1,0,1,Unclear,No,No,Yes
